id_men,culture_label,production_kg,superficie
1,Arachide,1500,3
1,Mais,500,1
1,Mil,1100,2
2,Arachide,750,1
2,Mais,1000,1
2,Mil,700,1
3,Arachide,7000,11
3,Mais,400,2
3,Mil,2000,5
4,Arachide,150,0.25
4,Mais,250,1
5,Arachide,312,2
5,Mil,300,1
5,Niebe,150,1
6,Arachide,200,1
6,Mil,300,1
7,Bissap,200,1
8,Arachide,1100,2.599999905
8,Mil,935,2
9,Arachide,7000,6
9,Mais,4000,2
9,Mil,8000,6
10,Arachide,100,0.5
10,Mil,100,0.5
10,Niebe,50,0.5
11,Mil,1100,1.5
12,Arachide,2200,3.5
12,Mais,0,1
12,Riz,50,0.119999997
12,Sorgho,1200,2.5
13,Arachide,700,0.949999988
13,Mil,500,0.693300009
13,Sorgho,1000,1.404600024
14,Menthe,500,0.25
15,Arachide,500,4
15,Mil,2500,4
16,Arachide,1200,2
16,Mil,1000,3
16,Pasteque,12000,2
17,Arachide,1440,2
18,Mais,100,0.25
19,Arachide,3250,3.5
19,Mais,2275,3
19,Sorgho,850,1.5
20,Mil,100,0.159999996
21,Arachide,16,0.037999999
21,Mais,1950,1.551800013
22,Arachide,750,2
22,Manioc,8000,2
22,Mil,800,2
22,Niebe,150,1
23,Sorgho,50,0.308800012
24,Arachide,1600,3.072520018
24,Mais,600,0.737410009
24,Mil,750,0.890630007
25,Arachide,200,3
26,Arachide,600,1
26,Riz,150,1
27,Arachide,400,3
27,Mil,280,2
28,Arachide,500,1
28,Mil,700,1
28,Niebe,80,1
29,Arachide,120,3
29,Mil,1367,4
29,Niebe,300,3
30,Arachide,2250,1
30,Mil,350,0.5
30,Riz,140,0.5
31,Arachide,4600,1.5
31,Mais,4600,3
31,Riz,400,0.5
32,Mil,150,0.449999988
32,Riz,441,0.550000012
33,Arachide,100,1
33,Mil,830,1
33,Niebe,22,0.5
33,Sorgho,68,0.5
34,Arachide,900,3
34,Mais,50,1
34,Mil,200,2
35,Arachide,600,1.5
35,Mil,400,2
36,Riz,300,0.349999994
37,Arachide,237,0.25
37,Mais,203,0.200000003
37,Riz,160,0.360000014
37,Sorgho,192,0.189999998
38,Mil,600,2
39,Mil,600,1
39,Riz,2500,1
40,Arachide,100,1
40,Mais,200,0.75
41,Sorgho,720,1
42,Niebe,100,1
43,Arachide,200,0.5
43,Mais,50,0.25
43,Mil,500,1
43,Sorgho,250,2
44,Arachide,800,1
44,Mil,1000,2
45,Arachide,500,0.713800013
45,Mil,250,0.547599971
46,Arachide,6000,6
46,Mais,1500,3
46,Mil,2000,5
47,Arachide,1800,1.992200017
47,Mil,2500,1.564800024
48,Arachide,300,1
48,Mil,200,1
49,Arachide,1250,3
49,Mais,600,2
49,Mil,1000,2
50,Bissap,105,1
51,Riz,2800,0.5
52,Arachide,1450,10
52,Mil,500,10
52,Niebe,1500,10
53,Mil,400,2
53,Sorgho,200,0.5
54,Arachide,500,3
54,Mil,2400,5
55,Arachide,1500,2
55,Mil,1000,2
56,Arachide,300,1.5
56,Mil,300,1
56,Niebe,200,0.5
57,Mais,1350,1
57,Mil,850,1
57,Sorgho,900,1
58,Mil,350,1
59,Mil,2000,5
60,Arachide,70,0.5
61,Arachide,1000,2
61,Mais,300,1
61,Mil,600,1.5
61,Sorgho,400,1
62,Arachide,5500,4.974400043
62,Mil,150,0.250400007
62,Sorgho,160,0.441399992
63,Arachide,500,1
63,Sorgho,100,1
64,Arachide,1600,1
64,Riz,2500,1
65,Arachide,560,2
65,Mil,600,2
65,Riz,840,3
66,Arachide,6000,4
66,Mais,400,1
66,Mil,1600,4
67,Mil,300,0.600000024
67,Riz,200,0.200000003
68,Sorgho,4500,1
69,Arachide,900,1
69,Mais,1100,1
70,Riz,950,0.899999976
70,Sesame,50,0.5
71,Arachide,500,1
71,Mais,800,1
71,Mil,600,1
72,Arachide,8000,15
72,Mais,6000,10
72,Mil,4500,10
73,Arachide,1000,4
73,Mais,200,0.5
73,Mil,1500,3
74,Mil,147,0.400000006
74,Riz,250,0.400000006
75,Arachide,800,2
75,Mais,1000,2
75,Mil,2000,2
76,Arachide,150,1
76,Mil,400,2
76,Niebe,25,1
77,Riz,450,0.5
78,Arachide,450,2
78,Mil,400,1
78,Niebe,100,2
79,Mil,0,3
79,Sesame,90,1
80,Riz,1850,1.5
80,Sesame,200,1
81,Arachide,400,1.5
81,Mais,50,0.5
81,Riz,960,1
82,Arachide,1700,3.019299984
82,Mais,150,0.816900015
82,Mil,100,0.915799975
82,Sorgho,50,0.597000003
83,Arachide,1000,2
83,Mil,400,1
84,Mais,550,1
84,Sorgho,50,1.183300018
85,Arachide,900,2
85,Mil,900,2
86,Niebe,21,0.150000006
87,Arachide,450,1
87,Mil,500,1.5
87,Niebe,80,0.5
88,Arachide,150,2.5
88,Mil,1000,2
89,Mais,1300,2
89,Riz,800,1
89,Sorgho,900,1
90,Arachide,1500,2
90,Mil,850,1.5
91,Arachide,500,4.5
91,Mais,60,0.5
91,Mil,200,1.5
91,Niebe,150,0.5
92,Riz,150,0.300000012
93,Arachide,700,1
93,Mil,800,2
94,Arachide,250,1
95,Arachide,1000,4
96,Arachide,1960,3
96,Mais,500,2
96,Mil,800,3
96,Riz,950,2
97,Arachide,1120,0.300000012
97,Riz,3500,0.5
98,Arachide,600,2
98,Mil,850,3
98,Niebe,0,1
99,Arachide,200,1
99,Mil,500,2
100,Mais,850,1.25
101,Sorgho,400,1
102,Mil,400,1
102,Riz,150,0.5
103,Arachide,2000,4
103,Mais,600,2
103,Mil,800,2
103,Riz,900,2
103,Sorgho,900,3
104,Arachide,1000,2
104,Mais,200,1
104,Mil,500,2
104,Riz,1000,3
105,Arachide,2100,2
105,Mais,450,1
105,Mil,700,1
106,Gombo,450,0.5
107,Riz,450,0.150000006
108,Mais,150,0.286000013
109,Arachide,1700,5
109,Mil,482,3
109,Niebe,350,3
110,Arachide,200,0.5
110,Mil,650,2
111,Arachide,0,1
111,Mil,0,0.5
111,Niebe,300,1
112,Niebe,100,0.5
113,Arachide,3000,5
113,Mais,2000,2
113,Mil,600,2
113,Sorgho,300,1
114,Arachide,575,0.75
114,Mais,547,0.75
114,Riz,200,0.5
114,Sorgho,750,1
115,Arachide,1600,4
115,Mil,1000,4
116,Arachide,2200,5
116,Niebe,300,0.5
117,Riz,800,1
118,Mais,3300,3
119,Arachide,80,2
119,Mil,1600,3
119,Niebe,80,1
120,Arachide,900,3
120,Mil,800,2
120,Niebe,300,2
121,Riz,700,0.899999976
121,Sesame,85,1
122,Arachide,462,0.25
122,Mais,773,0.5
122,Niebe,43,0.25
